"name","dept","area","count","adjustedcount","year"
A Min Tjoa,TU Wien,icde,1.0,0.3333333333333333,1984
A Min Tjoa,TU Wien,icde,1.0,0.2,1996
A. Aldo Faisal,Imperial College London,icra,1.0,0.3333333333333333,2016
A. Aldo Faisal,Imperial College London,icra,1.0,0.3333333333333333,2019
A. Aldo Faisal,Imperial College London,nips,1.0,0.14285714285714285,2018
A. Aldo Faisal,Imperial College London,ubicomp,1.0,0.16666666666666666,2019
A. Cüneyd Tantug,Istanbul Technical University,acl,1.0,0.3333333333333333,2007
A. Cüneyd Tantug,Istanbul Technical University,acl,1.0,0.3333333333333333,2019
A. E. Eiben,VU Amsterdam,ijcai,1.0,0.5,2007
A. Ercument Cicek,Bilkent University,ismb,1.0,0.3333333333333333,2014
A. Jefferson Offutt,George Mason University,fse,1.0,0.16666666666666666,2016
A. Jefferson Offutt,George Mason University,icse,1.0,0.3333333333333333,1993
A. Jefferson Offutt,George Mason University,issta,1.0,0.3333333333333333,1993
A. Jefferson Offutt,George Mason University,issta,1.0,0.5,1996
A. Jefferson Offutt,George Mason University,pldi,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,ics,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,isca,1.0,0.3333333333333333,1992
A. P. Wim Böhm,Colorado State University,micro,1.0,0.3333333333333333,1991
A. P. Wim Böhm,Colorado State University,micro,1.0,0.25,1993
A. Pavan 0001,Iowa State University,icde,1.0,0.5,2005
A. Pavan 0001,Iowa State University,pods,1.0,0.25,2012
A. Pavan 0001,Iowa State University,vldb,1.0,0.25,2013
A. Prasad Sistla,University of Illinois at Chicago,acl,1.0,0.2,2012
A. Prasad Sistla,University of Illinois at Chicago,cav,1.0,0.25,1990
A. Prasad Sistla,University of Illinois at Chicago,cav,1.0,0.5,1991
A. Prasad Sistla,University of Illinois at Chicago,cav,2.0,0.8333333333333333,1993
A. Prasad Sistla,University of Illinois at Chicago,cav,1.0,0.5,1994
A. Prasad Sistla,University of Illinois at Chicago,cav,1.0,0.5,1995
