,name,label1,tag1,label2,tag2,label3,tag3,label4,tag4,label5,tag5,label6,tag6,label7,tag7,label8,tag8,label9,tag9,label10,tag10
1,A Min Tjoa,,,,,,,,,,,,,,,,,,,,
2,A. Aldo Faisal,Neural and Evolutionary Computing,cs.NE,,,,,,,,,,,,,,,,,,
3,A. Antony Franklin,,,,,,,,,,,,,,,,,,,,
4,A. C. Cem Say,Computational Complexity,cs.CC,,,Quantum Physics,quant-ph,,,Formal Languages and Automata Theory,cs.FL,,,,,,,,,,
5,A. C. W. Finkelstein,Computers and Society,cs.CY,,,,,,,,,,,,,,,,,,
6,A. Cüneyd Tantug,,,Computation and Language,cs.CL,,,,,,,,,,,,,,,,
7,A. E. Eiben,Computation and Language,cs.CL,,,Neural and Evolutionary Computing,cs.NE,,,,,,,,,,,,,,
8,A. Ercument Cicek,,,,,,,,,,,,,,,,,,,,
9,A. J. Field,,,,,,,,,,,,,,,,,,,,
10,A. J. Jansen,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,,,
11,A. J. Kfoury,,,Programming Languages,cs.PL,,,Methodology,stat.ME,,,,,,,,,,,,
12,A. J. Ko 0001,,,,,,,,,,,,,,,,,,,,
13,A. Jefferson Offutt,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,
14,A. John Power,,,,,,,,,,,,,,,,,,,,
15,A. M. A. Hemmatyar,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,
16,A. Min Tjoa,,,,,,,,,,,,,,,,,,,,
