name,lable1,tag1,lable2,tag2,lable3,tag3,lable4,tag4,lable5,tag5,lable6,tag6,lable7,tag7,lable8,tag8,lable9,tag9,lable10,tag10
A Min Tjoa,,,,,,,,,,,,,,,,,,,,
A. Aldo Faisal,Neural and Evolutionary Computing,cs.NE,,,,,,,,,,,,,,,,,,
A. Antony Franklin,,,,,,,,,,,,,,,,,,,,
A. C. Cem Say,Computational Complexity,cs.CC,,,Quantum Physics,quant-ph,,,Formal Languages and Automata Theory,cs.FL,,,,,,,,,,
A. C. W. Finkelstein,Computers and Society,cs.CY,,,,,,,,,,,,,,,,,,
A. Cüneyd Tantug,,,Computation and Language,cs.CL,,,,,,,,,,,,,,,,
A. E. Eiben,Computation and Language,cs.CL,,,Neural and Evolutionary Computing,cs.NE,,,,,,,,,,,,,,
A. Ercument Cicek,,,,,,,,,,,,,,,,,,,,
A. J. Field,,,,,,,,,,,,,,,,,,,,
A. J. Jansen,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,,,
A. J. Kfoury,,,Programming Languages,cs.PL,,,Methodology,stat.ME,,,,,,,,,,,,
A. J. Ko 0001,,,,,,,,,,,,,,,,,,,,
A. Jefferson Offutt,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,
A. John Power,,,,,,,,,,,,,,,,,,,,
A. M. A. Hemmatyar,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,Computer Vision and Pattern Recognition,cs.CV,Computer Vision and Pattern Recognition,cs.CV,,,,,,,,,,
A. Min Tjoa,,,,,,,,,,,,,,,,,,,,
